"";"subjectid";"Zaposleni";"d_dug";"k_dug";"matimov";"kapital_rezerve";"osnovni_kapital";"nematimov";"prihod";"placa_net";"placa_brutto";"amortizacija";"financijski_trosak";"porez_dobit";"nett";"materijalni_trosak";"d_obveze";"k_obveze";"Export";"Import";"energy";"reportyear";"employeecounteop";"foreigncontrol";"nacerev21";"nacerev22";"nacerev23";"nacerev24";"countyid";"municipalityid";"NAZIV_OPC";"ZUPANIJA";"NAZIV_ZUP";"naziv";"adresa";"godinaOsnivanja"
"51";"00129399";5;0;0,000210793;5,7948e-05;0,000102355;2e-05;0;0,000560207;5,4185e-05;8,9589e-05;1,8236e-05;0;0;8,2355e-05;6,763e-05;0;0,000210793;0;0;0;2000;5;NA;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"VERITAS d.o.o.";"Andrije Štampara 7";"1992"
"52";"00129399";4;0;0,000149145;0,000152901;0,000187059;2e-05;0;0,000258474;0,000139649;0,000207347;1,9321e-05;1,565e-06;0;4,441e-06;2,58e-05;0;0,000149145;0;0;5,424e-06;2016;4;NA;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"VERITAS d.o.o.";"Andrije Štampara 7";"1992"
"53";"00129399";5;1,7367e-05;0,000277619;0,000261769;0,000143174;2e-05;0;0,000308028;0,00011727;0,0001821;2,5178e-05;0;0;3,353e-06;8,7208e-05;1,7367e-05;0,000277619;0;0;2,9872e-05;2007;5;NA;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"VERITAS d.o.o.";"Andrije Štampara 7";"1992"
"54";"00129399";4;5,8722e-05;6,5456e-05;0,000154352;0,00024155;2e-05;0;0,000259457;0,000115713;0,000178011;7,914e-06;6,785e-06;0;1,23e-07;5,6143e-05;5,8722e-05;6,5456e-05;0;0;1,662e-05;2010;4;0;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"VERITAS d.o.o.";"Andrije Štampara 7";"1992"
"55";"00129399";1;4,1765e-05;0,000285846;0,000147014;-3,8513e-05;2e-05;9,108e-06;0;1,2407e-05;1,8228e-05;0;2,5885e-05;0;-6,8906e-05;1,5004e-05;4,1765e-05;0,000285846;0;0;5,326e-06;2013;0;0;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"VERITAS d.o.o.";"Andrije Štampara 7";"1992"
"56";"00129399";4;9,027e-06;0,000216017;0,000211616;0,00017249;2e-05;0;0,000304509;0,000123039;0,000190285;2,3165e-05;0;0;4,036e-06;7,4877e-05;9,027e-06;0,000216017;0;0;2,8957e-05;2009;4;0;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"VERITAS d.o.o.";"Andrije Štampara 7";"1992"
"57";"00129399";0;2,0204e-05;0,000320302;0,000156122;-5,7498e-05;2e-05;0;0;0;0;0;4,373e-06;0;-3,7212e-05;2,2947e-05;2,0204e-05;0,000320302;0;0;1,0457e-05;2014;0;0;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"VERITAS d.o.o.";"Andrije Štampara 7";"1992"
"58";"00129399";4;1,5913e-05;0,000217923;0,000207491;0,000168454;2e-05;0;0,000456499;0,000124138;0,000192007;5,4278e-05;0;0;2,528e-05;0,000118262;1,5913e-05;0,000217923;0;0;3,1343e-05;2008;5;0;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"VERITAS d.o.o.";"Andrije Štampara 7";"1992"
"59";"00129399";NA;0;0,000183052;0,000170517;0,000212207;2e-05;0;0,000278154;0,000166822;0,000239481;0;0;0;2,5147e-05;1,71e-06;0;0,000183052;0;0;0;2017;4;0;"";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"VERITAS d.o.o.";"Andrije Štampara 7";"1992"
"60";"00129399";4;3,1256e-05;8,3421e-05;0,00016208;0,000152116;2e-05;0;0,000229565;9,7522e-05;0,000149781;1,986e-06;2,015e-06;0;1,0496e-05;3,1497e-05;3,1256e-05;8,3421e-05;0;0;1,2199e-05;2011;3;0;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"VERITAS d.o.o.";"Andrije Štampara 7";"1992"
